date,IPG3344S,USINFO,PAYEMS,chip_yoy,software_emp_yoy,payems_yoy
1972-01-01,0.029,2019,72441,,,
1972-02-01,0.0286,2025,72648,,,
1972-03-01,0.0286,2035,72944,,,
1972-04-01,0.029,2040,73162,,,
1972-05-01,0.0291,2046,73469,,,
1972-06-01,0.0288,2054,73758,,,
1972-07-01,0.0298,2051,73709,,,
1972-08-01,0.03,2061,74141,,,
1972-09-01,0.0309,2066,74264,,,
1972-10-01,0.0319,2078,74674,,,
1972-11-01,0.0334,2088,74973,,,
1972-12-01,0.0356,2096,75268,,,
1973-01-01,0.0356,2100,75617,22.758620689655174,4.011887072808329,4.384257533717095
1973-02-01,0.037,2111,76014,29.370629370629352,4.246913580246914,4.633300297324072
1973-03-01,0.0377,2118,76284,31.818181818181813,4.078624078624071,4.578855012064054
1973-04-01,0.0382,2125,76455,31.72413793103448,4.166666666666674,4.5009704491402625
1973-05-01,0.0385,2128,76648,32.302405498281786,4.007820136852391,4.3269950591405815
1973-06-01,0.0413,2131,76887,43.40277777777779,3.748782862706923,4.242251687952492
1973-07-01,0.0387,2133,76913,29.86577181208052,3.998049731838127,4.346823318726334
1973-08-01,0.041,2141,77168,36.66666666666667,3.881610868510421,4.082761225233011
1973-09-01,0.0412,2145,77276,33.33333333333333,3.8238141335914744,4.0558009264246575
1973-10-01,0.0429,2155,77607,34.48275862068966,3.705486044273343,3.9277392398960886
1973-11-01,0.044,2160,77920,31.73652694610778,3.4482758620689724,3.930748402758333
1973-12-01,0.0445,2160,78031,25.0,3.053435114503822,3.6708827124408705
1974-01-01,0.0446,2167,78100,25.2808988764045,3.190476190476188,3.283653146779164
1974-02-01,0.0452,2167,78254,22.162162162162158,2.6527711984841273,2.946825584760693
1974-03-01,0.045,2165,78296,19.363395225464195,2.219074598678006,2.6375124534633754
1974-04-01,0.0443,2166,78382,15.96858638743457,1.9294117647058906,2.5204368582826486
1974-05-01,0.0434,2169,78549,12.727272727272743,1.9266917293233154,2.4801690846466995
1974-06-01,0.0432,2171,78604,4.600484261501214,1.8770530267480101,2.233147346105313
1974-07-01,0.042,2173,78636,8.527131782945752,1.87529301453353,2.240193465343965
1974-08-01,0.0402,2167,78619,-1.9512195121951237,1.214385801027551,1.8803130831432702
1974-09-01,0.0406,2159,78610,-1.456310679611661,0.6526806526806483,1.7262798281484582
1974-10-01,0.0399,2155,78630,-6.9930069930070005,0.0,1.3181800610769567
1974-11-01,0.0366,2143,78265,-16.81818181818181,-0.7870370370370416,0.44276180698152867
1974-12-01,0.035,2118,77652,-21.34831460674156,-1.9444444444444486,-0.4857043995335153
1975-01-01,0.0343,2095,77293,-23.094170403587455,-3.3225657591139823,-1.033290653008967
1975-02-01,0.0319,2073,76918,-29.424778761061944,-4.3377941855099245,-1.7072609706852093
1975-03-01,0.0319,2059,76648,-29.11111111111111,-4.896073903002307,-2.1048329416572975
1975-04-01,0.031,2053,76460,-30.02257336343115,-5.216989843028619,-2.4520935929167376
1975-05-01,0.0321,2051,76624,-26.036866359447018,-5.440295066851086,-2.4506995633298945
1975-06-01,0.0317,2045,76521,-26.620370370370374,-5.803777061262094,-2.6499923668006686
1975-07-01,0.0335,2047,76770,-20.238095238095234,-5.798435342844,-2.372958950099191
1975-08-01,0.0343,2054,77153,-14.67661691542289,-5.214582371942777,-1.8646891972678326
1975-09-01,0.0353,2055,77228,-13.054187192118228,-4.817044928207503,-1.758046050120854
1975-10-01,0.0358,2061,77540,-10.275689223057638,-4.361948955916473,-1.3862393488490388
1975-11-01,0.0362,2067,77685,-1.092896174863378,-3.546430237984133,-0.7410719989778269
1975-12-01,0.0377,2065,78017,7.714285714285696,-2.5023607176581697,0.4700458455674017
1976-01-01,0.0381,2083,78503,11.0787172011662,-0.5727923627684928,1.5654716468503027
1976-02-01,0.038,2093,78816,19.122257053291534,0.9647853352628966,2.4675628591487087
1976-03-01,0.0388,2100,79048,21.630094043887162,1.9912578921806645,3.131197161047905
1976-04-01,0.0403,2106,79292,30.000000000000004,2.5815879201169123,3.703897462725614
1976-05-01,0.0425,2106,79312,32.398753894081025,2.6816187225743526,3.508039256629769
1976-06-01,0.0427,2111,79376,34.700315457413254,3.2273838630806795,3.7310019471779032
1976-07-01,0.0434,2115,79547,29.552238805970156,3.321934538348814,3.617298423863491
1976-08-01,0.0449,2118,79704,30.903790087463577,3.1158714703018564,3.306417119230609
1976-09-01,0.0465,2123,79892,31.728045325779043,3.3090024330900247,3.449526078624343
1976-10-01,0.0475,2119,79911,32.68156424581006,2.8141678796700598,3.0577766314160426
1976-11-01,0.0481,2129,80240,32.87292817679557,2.9995162070633796,3.288923215549988
1976-12-01,0.0484,2136,80448,28.3819628647215,3.438256658595651,3.1159875411769233
1977-01-01,0.049,2145,80690,28.608923884514436,2.9764762361977892,2.785880794364548
1977-02-01,0.0515,2151,80988,35.52631578947367,2.771141901576679,2.755785627283802
1977-03-01,0.0512,2157,81391,31.958762886597935,2.7142857142857135,2.964021860135624
1977-04-01,0.0523,2166,81728,29.776674937965254,2.8490028490028463,3.072188871512882
1977-05-01,0.053,2177,82088,24.705882352941156,3.3713200379867025,3.500100867460154
1977-06-01,0.0551,2185,82488,29.039812646370034,3.5054476551397373,3.920580528119322
1977-07-01,0.0546,2192,82834,25.806451612903224,3.640661938534273,4.132148289690374
1977-08-01,0.0567,2196,83075,26.280623608017816,3.682719546742219,4.22939877546924
1977-09-01,0.0572,2205,83532,23.010752688172055,3.862458784738587,4.556150803584846
1977-10-01,0.0571,2208,83800,20.21052631578948,4.20009438414346,4.866664163882328
